,Unnamed: 0,txt,len,path
3435,3435,stack_blocks,584,/shared/mandi/all_rlbench_data/stack_blocks/variation19/episodes/episode7/left_shoulder_rgb
23376,23376,push_button,203,/shared/mandi/all_rlbench_data/push_button/variation10/episodes/episode10/front_rgb
27619,27619,close_jar,172,/shared/mandi/all_rlbench_data/close_jar/variation19/episodes/episode9/left_shoulder_rgb
8506,8506,close_laptop_lid,164,/shared/mandi/all_rlbench_data/close_laptop_lid/variation0/episodes/episode5/left_shoulder_rgb
2724,2724,stack_blocks,293,/shared/mandi/all_rlbench_data/stack_blocks/variation48/episodes/episode6/left_shoulder_rgb
36951,36951,reach_target,53,/shared/mandi/all_rlbench_data/reach_target/variation3/episodes/episode5/right_shoulder_rgb
23865,23865,push_button,96,/shared/mandi/all_rlbench_data/push_button/variation13/episodes/episode12/right_shoulder_rgb
35467,35467,take_money_out_safe,162,/shared/mandi/all_rlbench_data/take_money_out_safe/variation0/episodes/episode0/wrist_rgb
2009,2009,hannoi_square,151,/shared/mandi/all_rlbench_data/hannoi_square/variation8/episodes/episode12/front_rgb
1453,1453,hannoi_square,150,/shared/mandi/all_rlbench_data/hannoi_square/variation11/episodes/episode1/overhead_rgb
11649,11649,put_knife_on_chopping_board,180,/shared/mandi/all_rlbench_data/put_knife_on_chopping_board/variation0/episodes/episode10/wrist_rgb
22605,22605,push_button,67,/shared/mandi/all_rlbench_data/push_button/variation3/episodes/episode14/overhead_rgb
3970,3970,stack_blocks,662,/shared/mandi/all_rlbench_data/stack_blocks/variation32/episodes/episode15/right_shoulder_rgb
23003,23003,push_button,91,/shared/mandi/all_rlbench_data/push_button/variation17/episodes/episode5/left_shoulder_rgb
35969,35969,reach_target,53,/shared/mandi/all_rlbench_data/reach_target/variation5/episodes/episode12/front_rgb
38658,38658,reach_and_drag,168,/shared/mandi/all_rlbench_data/reach_and_drag/variation16/episodes/episode17/wrist_rgb
7028,7028,stack_blocks,836,/shared/mandi/all_rlbench_data/stack_blocks/variation5/episodes/episode15/right_shoulder_rgb
25261,25261,light_bulb_out,166,/shared/mandi/all_rlbench_data/light_bulb_out/variation17/episodes/episode12/overhead_rgb
18843,18843,push_buttons,132,/shared/mandi/all_rlbench_data/push_buttons/variation22/episodes/episode19/overhead_rgb
3869,3869,stack_blocks,314,/shared/mandi/all_rlbench_data/stack_blocks/variation45/episodes/episode9/overhead_rgb
28072,28072,close_jar,396,/shared/mandi/all_rlbench_data/close_jar/variation8/episodes/episode18/front_rgb
42929,42929,close_door,158,/shared/mandi/all_rlbench_data/close_door/variation0/episodes/episode4/front_rgb
45564,45564,take_cup_out_from_cabinet,282,/shared/mandi/all_rlbench_data/take_cup_out_from_cabinet/variation0/episodes/episode0/right_shoulder_rgb
