,Unnamed: 0,txt,len,path
1,1.0,put_bottle_in_fridge,524.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode14/front_rgb
5,5.0,put_bottle_in_fridge,488.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode1/front_rgb
10,10.0,put_bottle_in_fridge,672.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode6/front_rgb
18,18.0,put_bottle_in_fridge,496.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode19/front_rgb
23,23.0,put_bottle_in_fridge,647.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode13/front_rgb
28,28.0,put_bottle_in_fridge,534.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode17/front_rgb
31,31.0,put_bottle_in_fridge,443.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode8/front_rgb
35,35.0,put_bottle_in_fridge,470.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode2/front_rgb
40,40.0,put_bottle_in_fridge,548.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode5/front_rgb
48,48.0,put_bottle_in_fridge,591.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode10/front_rgb
50,50.0,put_bottle_in_fridge,552.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode12/front_rgb
59,59.0,put_bottle_in_fridge,402.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode18/front_rgb
61,61.0,put_bottle_in_fridge,526.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode7/front_rgb
68,68.0,put_bottle_in_fridge,506.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode0/front_rgb
71,71.0,put_bottle_in_fridge,484.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode15/front_rgb
77,77.0,put_bottle_in_fridge,614.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode11/front_rgb
81,81.0,put_bottle_in_fridge,506.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode4/front_rgb
89,89.0,put_bottle_in_fridge,492.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode3/front_rgb
90,90.0,put_bottle_in_fridge,466.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode9/front_rgb
95,95.0,put_bottle_in_fridge,463.0,/shared/mandi/all_rlbench_data/put_bottle_in_fridge/variation0/episodes/episode16/front_rgb
101,101.0,lamp_off,68.0,/shared/mandi/all_rlbench_data/lamp_off/variation0/episodes/episode19/front_rgb
105,105.0,lamp_off,61.0,/shared/mandi/all_rlbench_data/lamp_off/variation0/episodes/episode13/front_rgb
112,112.0,lamp_off,75.0,/shared/mandi/all_rlbench_data/lamp_off/variation0/episodes/episode0/front_rgb
118,118.0,lamp_off,165.0,/shared/mandi/all_rlbench_data/lamp_off/variation0/episodes/episode7/front_rgb
121,121.0,lamp_off,122.0,/shared/mandi/all_rlbench_data/lamp_off/variation0/episodes/episode14/front_rgb
129,129.0,lamp_off,116.0,/shared/mandi/all_rlbench_data/lamp_off/variation0/episodes/episode10/front_rgb
130,130.0,lamp_off,80.0,/shared/mandi/all_rlbench_data/lamp_off/variation0/episodes/episode9/front_rgb
138,138.0,lamp_off,59.0,/shared/mandi/all_rlbench_data/lamp_off/variation0/episodes/episode3/front_rgb
140,140.0,lamp_off,76.0,/shared/mandi/all_rlbench_data/lamp_off/variation0/episodes/episode4/front_rgb
146,146.0,lamp_off,64.0,/shared/mandi/all_rlbench_data/lamp_off/variation0/episodes/episode17/front_rgb
151,151.0,lamp_off,61.0,/shared/mandi/all_rlbench_data/lamp_off/variation0/episodes/episode6/front_rgb
